Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter
SRR13615479	16.6371	94.9049	1196.047178	33.16565	47.394	96.9082420678075	0.02745460566788588
SRR13615480	16.659	94.58619999999999	1195.719502	33.268318	47.4053	96.8300821190881	0.027732000831261486
SRR13615481	16.7344	94.4568	1201.610056	33.478041999999995	47.3974	96.71398764808102	0.029166114890919425
SRR13615482	21.506700000000002	88.6785	1576.9948749999999	46.79952	47.7971	91.99409989395802	0.028801525136289283
SRR13615483	21.4097	88.59559999999999	1583.383975	47.033131999999995	47.7644	92.0663688740792	0.029585337824468785
SRR13615524	21.8725	95.3874	1473.815054	40.660996	48.459799999999994	96.94089587310351	0.02088493473815513
SRR13615525	21.9536	95.14439999999999	1466.3911369999998	40.559518	48.464800000000004	96.899341888927	0.02104288821572458
SRR13615526	22.1197	95.0453	1475.845797	40.86354	48.4503	96.79277472080805	0.02055069417573051
SRR13615527	26.7731	95.4578	1510.001456	41.628617999999996	48.9717	97.58928872417847	0.020376513522273532
SRR13615528	26.931699999999996	95.2125	1506.240576	41.631988	48.9974	97.56061826903716	0.02175148731242916
